,Name,Price
1,Bulbasaur,£63.00
2,Ivysaur,£87.00
3,Venusaur,£105.00
4,Charmander,£48.00
5,Charmeleon,£165.00
6,Charizard,£156.00
7,Squirtle,£130.00
8,Wartortle,£123.00
9,Blastoise,£76.00
10,Caterpie,£73.00
11,Metapod,£148.00
12,Butterfree,£162.00
13,Weedle,£25.00
14,Kakuna,£148.00
15,Beedrill,£168.00
16,Pidgey,£159.00
17,Pidgeotto,£84.00
18,Pidgeot,£185.00
19,Rattata,£128.00
20,Raticate,£60.00
21,Spearow,£133.00
22,Fearow,£95.00
23,Ekans,£55.00
24,Arbok,£182.00
25,Pikachu,£37.00
26,Raichu,£140.00
27,Sandshrew,£82.00
28,Sandslash,£155.00
29,Nidorina,£28.00
30,Nidoqueen,£106.00
31,Nidorino,£179.00
32,Nidoking,£31.00
33,Clefairy,£160.00
34,Clefable,£188.00
35,Vulpix,£85.00
36,Ninetales,£52.00
37,Jigglypuff,£61.00
38,Wigglytuff,£130.00
39,Zubat,£125.00
40,Golbat,£136.00
41,Oddish,£45.00
42,Gloom,£178.00
43,Vileplume,£170.00
44,Paras,£168.00
45,Parasect,£27.00
46,Venonat,£158.00
47,Venomoth,£53.00
48,Diglett,£122.00
